Title,Authors,Publication Date,Journallink,Journal
Direct Evidence of Bitcoin Wash Trading,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2021.01448,MS
Maximal Objectives in the Multiarmed Bandit with Applications,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.00801,MS
Fair Exploration via Axiomatic Bargaining,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2022.01985,MS
"Inflation, Monetary Policy, and Portfolio Decisions of U.S. Households",,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.02197,MS
Costly Information Acquisition in Decentralized Markets: Experimental Evidence,,unfound,https://pubsonline.informs.org/doi/epdf/10.1287/mnsc.2023.4976,MS
